Episode,Average Reward,Average Score
100,8.999999999999982,0.0
200,9.007999999999983,0.0
300,9.023999999999983,0.0
400,9.074999999999982,0.0
500,8.999999999999982,0.0
600,9.065999999999981,0.0
700,9.064999999999982,0.0
800,9.057999999999982,0.0
900,9.072999999999983,0.0
1000,9.124999999999982,0.0
1100,9.157999999999982,0.01
1200,9.25299999999998,0.03
1300,9.170999999999982,0.01
1400,9.28099999999998,0.0
1500,9.32299999999998,0.0
1600,9.25699999999998,0.0
1700,9.206999999999981,0.0
1800,9.301999999999982,0.01
1900,9.32799999999998,0.02
2000,9.34599999999998,0.01
2100,9.33299999999998,0.03
2200,7.975999999999984,0.01
2300,9.360999999999981,0.05
2400,9.409999999999979,0.05
2500,9.47599999999998,0.05
2600,9.54399999999998,0.09
2700,9.521999999999979,0.07
2800,9.51199999999998,0.05
2900,9.524999999999979,0.05
3000,9.47099999999998,0.05
3100,9.41099999999998,0.04
3200,9.312999999999981,0.02
3300,9.43599999999998,0.06
3400,9.51799999999998,0.05
3500,9.54599999999998,0.05
3600,9.601999999999979,0.03
3700,9.547999999999979,0.0
3800,9.570999999999978,0.01
3900,9.48599999999998,0.01
4000,9.44699999999998,0.0
4100,9.49499999999998,0.01
4200,9.56599999999998,0.01
4300,9.49999999999998,0.03
4400,9.46299999999998,0.01
4500,9.32099999999998,0.0
4600,9.39499999999998,0.01
4700,9.582999999999977,0.02
4800,9.713999999999977,0.02
4900,9.63699999999998,0.05
5000,9.648999999999978,0.1
5100,10.264999999999977,0.4
5200,10.955999999999976,0.76
5300,11.576999999999977,0.8
5400,11.553999999999975,0.62
5500,10.31499999999998,0.27
5600,9.868999999999978,0.12
5700,11.893999999999982,0.58
5800,13.431999999999984,0.95
5900,14.273999999999987,1.15
6000,14.65999999999999,1.28
6100,14.975999999999988,1.35
6200,15.522,1.45
6300,13.830999999999992,1.11
6400,15.768000000000004,1.51
6500,15.563999999999998,1.46
6600,14.707999999999995,1.29
6700,15.00699999999999,1.37
6800,17.191000000000017,1.82
6900,17.149000000000022,1.92
7000,17.191000000000027,1.82
7100,19.42700000000003,2.33
7200,15.538000000000011,1.49
7300,15.422999999999979,1.45
7400,18.794000000000008,2.13
7500,28.07900000000008,4.17
7600,36.192999999999856,5.94
7700,32.74799999999993,5.21
7800,36.55699999999997,6.01
7900,34.49700000000005,5.57
8000,37.61199999999988,6.26
8100,36.67299999999996,6.06
8200,36.76699999999992,6.1
8300,34.74999999999983,5.8
8400,46.91999999999981,8.28
8500,39.074999999999946,6.59
8600,34.02299999999998,5.5
8700,34.11899999999996,5.52
8800,43.81999999999983,7.62
8900,33.88899999999992,5.44
9000,37.15499999999993,6.23
9100,39.64199999999987,6.7
9200,38.71999999999996,6.53
9300,36.22299999999992,6.0
9400,42.14899999999983,7.32
9500,43.956999999999795,7.62
9600,40.79399999999999,6.91
9700,33.335999999999984,5.3
9800,39.070999999999806,6.56
9900,36.62399999999993,6.0
10000,29.370000000000054,4.45
10100,30.20200000000001,4.65
10200,32.96300000000001,5.29
10300,37.585999999999906,6.37
10400,36.34400000000008,5.97
10500,40.12199999999996,6.8
10600,24.60899999999994,3.64
10700,40.812999999999896,7.0
10800,44.9729999999998,7.85
10900,41.66199999999983,7.17
11000,41.36399999999993,7.09
11100,45.134999999999884,7.91
11200,32.61200000000006,5.21
11300,39.104,6.63
11400,46.533999999999935,8.22
11500,42.81099999999986,7.5
11600,52.23199999999971,9.39
11700,46.46999999999971,8.18
11800,44.20999999999984,7.71
11900,41.49099999999978,7.12
12000,43.16499999999986,7.45
12100,37.14099999999988,6.18
12200,38.641000000000076,6.5
12300,44.708999999999875,7.8
12400,32.84899999999999,5.3
12500,40.0219999999999,6.74
12600,39.76099999999994,6.72
12700,31.039999999999992,4.81
12800,36.10799999999998,5.95
12900,36.57899999999997,6.02
13000,36.03499999999985,5.92
13100,38.367999999999945,6.42
13200,33.17899999999995,5.32
13300,36.78599999999999,6.08
13400,43.46899999999985,7.59
13500,36.58899999999996,6.1
13600,44.42399999999991,7.73
13700,42.893999999999906,7.4
13800,34.94700000000003,5.69
13900,42.22999999999985,7.37
14000,47.764999999999745,8.43
14100,45.36399999999996,7.94
14200,37.50699999999986,6.21
14300,40.75799999999988,6.92
14400,34.22799999999996,5.51
14500,38.20299999999987,6.37
14600,39.25199999999997,6.61
14700,41.23499999999988,7.05
14800,39.817999999999934,6.77
14900,45.084999999999816,7.91
15000,43.145999999999916,7.43
